scorer,model,k,n,grounding_rate,flip_vs_ref,vlm_n,vlm_f1,vlm_acc
clip,MM,1,3910,0.7402,0.245,3910,0.5653,0.4887
clip,MM,2,3910,0.9041,0.0811,3910,0.6027,0.4675
clip,MM,4,3910,0.9552,0.0299,3910,0.6099,0.4573
clip,MM,8,3910,0.9762,0.009,3910,0.6114,0.4512
clip,MM,16,3910,0.9852,0.0,3910,0.6104,0.4463
clip,TXT,1,2686,0.7349,0.248,2686,0.4979,0.455
clip,TXT,2,2686,0.898,0.0849,2686,0.5206,0.4013
clip,TXT,4,2686,0.9453,0.0376,2686,0.52,0.3779
clip,TXT,8,2686,0.9676,0.0153,2686,0.5219,0.3697
clip,TXT,16,2686,0.9829,0.0,2686,0.5198,0.3596
